epoch,train_loss,val_loss
0,0.5255468584003702,0.23492281883955002
1,0.15398308278712552,0.178998900949955
2,0.09184520483940048,0.11351760675509771
3,0.06136376160172235,0.09937598506609599
4,0.05179141223352336,0.08883589108784994
5,0.04048456399973515,0.10592540949583054
6,0.038554025962289455,0.09954442816476027
7,0.03301237083444026,0.10724995185931524
8,0.02950280634439097,0.09077283442020416
9,0.022043792324849463,0.08752057465414206
10,0.01902914982684682,0.08485334167877832
11,0.018101989637763626,0.09918403401970863
12,0.016896716558551662,0.08481588053206603
13,0.012954344284778412,0.1002424826224645
14,0.011444199500621947,0.0814688190817833
15,0.011116505765347881,0.09257347894211611
16,0.010975791767767045,0.08247708243628343
17,0.008940880059108007,0.08768492427965005
18,0.012012386294823568,0.0847479077676932
19,0.007602907122788638,0.09292378301421801
