epoch,train_loss,val_loss
0,1.0102201650540035,1.0246397654215496
1,0.8559491684039434,1.0835625330607097
2,0.5818924928704897,1.3638171752293904
3,0.47363585482041043,1.233768900235494
4,0.4419512351353963,0.8853373527526855
5,0.4155079548557599,1.1066948572794597
6,0.3971914624174436,0.8355883359909058
7,0.3678576822082202,0.838503102461497
8,0.35479514052470523,0.536756157875061
9,0.32811479022105533,0.45278294881184894
10,0.30586570501327515,0.3800957401593526
11,0.2789071003595988,0.2810998062292735
12,0.2639026964704196,0.2889760633309682
13,0.24151629706223807,0.25596627593040466
14,0.22981886565685272,0.23616265257199606
15,0.22123166422049204,0.2991761267185211
16,0.21044518674413362,0.27911150455474854
17,0.20410780981183052,0.23909962673981985
18,0.1941241795818011,0.23167780538400015
19,0.17943403869867325,0.1439245641231537
