epoch,train_loss,val_loss
0,0.570783008252625,0.4896442691485087
1,0.28699037735968563,0.765456634759903
2,0.18860053053471895,0.2412509525815646
3,0.13967215737937827,0.33751807709534964
4,0.12034686757004366,0.13958755607406298
5,0.10054157967720412,0.1830029937128226
6,0.0842885557990686,0.15343625247478485
7,0.0825235096952029,0.13423251981536546
8,0.0763098534559254,0.19925726254781087
9,0.07581769816775237,0.21699383358160654
10,0.06495994761322452,0.1157760945459207
11,0.0652730142021865,0.20781489461660385
12,0.07322195439343959,0.2034144103527069
13,0.05763023264244595,0.12472480908036232
14,0.053359802845305046,0.11879268462459246
15,0.049987554072146924,0.1503345139324665
16,0.04483190820906806,0.12623467296361923
17,0.04217088773055414,0.14081460858384767
18,0.04360161215660319,0.1971136917670568
19,0.049847055341949505,0.16992842679222425
