epoch,train_loss,val_loss
0,0.9738387763500214,0.9258391857147217
1,0.7771280407905579,0.5151057044665018
2,0.5125082607070605,0.8060391346613566
3,0.44614195078611374,0.30451000730196637
4,0.34019344796737033,0.294459601243337
5,0.26192360495527583,0.27824412782986957
6,0.21214197079340616,0.22370430827140808
7,0.22081006318330765,0.29240693151950836
8,0.165581992516915,0.21341444551944733
9,0.1356437529126803,0.18651392062505087
10,0.11896975090106328,0.14995945990085602
11,0.10740564080576102,0.1429291913906733
12,0.09994855523109436,0.12055196613073349
13,0.10016099053124587,0.11774551371733348
14,0.09107669442892075,0.12348458170890808
15,0.08708322172363599,0.11224030703306198
16,0.08818424120545387,0.1366392324368159
17,0.07828650313119094,0.12424645821253459
18,0.07411923569937547,0.13428529600302377
19,0.07039747635523479,0.10816536843776703
