epoch,train_loss,val_loss
0,0.9840767880280813,0.8090163667996725
1,0.8344999800125757,0.893772542476654
2,0.5972163577874502,0.3937502106030782
3,0.4585163965821266,0.4013359447320302
4,0.357128843665123,0.3989588220914205
5,0.28749004875620204,0.2458164542913437
6,0.22496294975280762,0.22149527072906494
7,0.17937304824590683,0.19482887287934622
8,0.1489602029323578,0.15354357659816742
9,0.12281571452816327,0.13826502362887064
10,0.11223230759302776,0.12432332833607991
11,0.10432953263322513,0.12618312736352286
12,0.09644361026585102,0.11551953355471294
13,0.09109025696913402,0.10623999685049057
14,0.08364854070047538,0.10694570342699687
15,0.08158574253320694,0.12082969894011815
16,0.07591959585746129,0.10181075831254323
17,0.06991185092677672,0.10291498154401779
18,0.06552129021535318,0.11523133019606273
19,0.06435064971446991,0.11236236989498138
