epoch,train_loss,val_loss
0,0.5620400711102823,0.23958358416954675
1,0.1824725518843769,0.16487553467353186
2,0.11911473007856217,0.12815131172537803
3,0.07858115197282976,0.11163587545355161
4,0.062296824216578915,0.1124287928144137
5,0.05416755829896547,0.10764221722881
6,0.050415512388654514,0.11395064083238443
7,0.038840659696246144,0.10046590392788252
8,0.03257782182005127,0.0865869965404272
9,0.027120118416779863,0.11665970732768377
10,0.03401122176277954,0.1502314512928327
11,0.036661102345823184,0.0827981986105442
12,0.019932760329570916,0.09643984213471413
13,0.018377160025035255,0.08981441942354043
14,0.015082070092975566,0.08283403180539609
15,0.014917967383609673,0.09998768220345179
16,0.012872514422092817,0.09790907402833303
17,0.011466566427915761,0.11116300225257873
18,0.017320416908941965,0.09752267102400462
19,0.012113229919686518,0.11030451133847237
