epoch,train_loss,val_loss
0,0.9586497247219086,0.8426687717437744
1,0.6826673001050949,1.9308900435765584
2,0.5289700503150622,0.6040799220403036
3,0.4503512705365817,0.7820816040039062
4,0.4263075788815816,0.5940605799357096
5,0.40684492886066437,0.5076360702514648
6,0.38129229595263797,0.5900171796480814
7,0.3554739182194074,0.4119197527567546
8,0.33412183821201324,0.2822228968143463
9,0.3094912643233935,0.2655901213486989
10,0.2888386820753415,0.22226321697235107
11,0.272027138620615,0.21872423589229584
12,0.24315374344587326,0.2339106798171997
13,0.23743832483887672,0.21778938670953116
14,0.2205160098771254,0.1729551057020823
15,0.2121251386900743,0.16036209960778555
16,0.1968577243387699,0.17172186076641083
17,0.200208048025767,0.24101031323273978
18,0.20283074925343195,0.1572913577159246
19,0.18534091239174208,0.16390242179234824
